project,sample_id,sequence_name,haplotype_id,haplotype_frequency,sequence_length,cohort
PRJNA1037681,SRR26779989,PRJNA1037681_SRR26779989_H2_freq0.28519252802168665,H2,0.28519252802168665,966,Australia
PRJNA1037681,SRR26779994,PRJNA1037681_SRR26779994_H1_freq0.7435829657337988,H1,0.7435829657337988,966,Australia
PRJNA1037681,SRR26779994,PRJNA1037681_SRR26779994_H2_freq0.2564170342662013,H2,0.2564170342662013,966,Australia
PRJNA1037681,SRR26780031,PRJNA1037681_SRR26780031_H1_freq0.6314167403432303,H1,0.6314167403432303,966,Australia
PRJNA1037681,SRR26780031,PRJNA1037681_SRR26780031_H2_freq0.36858325965676964,H2,0.36858325965676964,966,Australia
PRJNA1037681,SRR26780033,PRJNA1037681_SRR26780033_H1_freq0.7798781373374821,H1,0.7798781373374821,966,Australia
PRJNA1037681,SRR26780033,PRJNA1037681_SRR26780033_H2_freq0.2201218626625177,H2,0.2201218626625177,966,Australia
PRJNA1037681,SRR26780034,PRJNA1037681_SRR26780034_H1_freq0.7191127622041915,H1,0.7191127622041915,966,Australia
PRJNA1037681,SRR26780034,PRJNA1037681_SRR26780034_H2_freq0.2808872377958085,H2,0.2808872377958085,966,Australia
PRJNA1037681,SRR26780041,PRJNA1037681_SRR26780041_H1_freq0.6946593790986114,H1,0.6946593790986114,966,Australia
PRJNA1037681,SRR26780041,PRJNA1037681_SRR26780041_H2_freq0.21518613665996453,H2,0.21518613665996453,966,Australia
PRJNA1037681,SRR26780041,PRJNA1037681_SRR26780041_H3_freq0.09015448424142404,H3,0.09015448424142404,966,Australia
PRJNA1037681,SRR26780042,PRJNA1037681_SRR26780042_H1_freq0.6392916370598041,H1,0.6392916370598041,966,Australia
PRJNA1037681,SRR26780042,PRJNA1037681_SRR26780042_H2_freq0.3607083629401958,H2,0.3607083629401958,966,Australia
PRJNA1037681,SRR26780044,PRJNA1037681_SRR26780044_H1_freq0.5006038096179288,H1,0.5006038096179288,966,Australia
PRJNA1037681,SRR26780044,PRJNA1037681_SRR26780044_H2_freq0.4993961903820711,H2,0.4993961903820711,966,Australia
PRJNA1037681,SRR26780046,PRJNA1037681_SRR26780046_H1_freq0.8161263209809791,H1,0.8161263209809791,966,Australia
PRJNA1037681,SRR26780046,PRJNA1037681_SRR26780046_H2_freq0.18387367901902088,H2,0.18387367901902088,966,Australia
PRJNA1037681,SRR26780048,PRJNA1037681_SRR26780048_H1_freq0.5414835821019822,H1,0.5414835821019822,966,Australia
PRJNA1037681,SRR26780048,PRJNA1037681_SRR26780048_H2_freq0.4585164178980177,H2,0.4585164178980177,966,Australia
PRJNA1037681,SRR26780050,PRJNA1037681_SRR26780050_H1_freq0.7424004194574804,H1,0.7424004194574804,966,Australia
PRJNA1037681,SRR26780050,PRJNA1037681_SRR26780050_H2_freq0.2575995805425197,H2,0.2575995805425197,966,Australia
PRJNA1037681,SRR26780067,PRJNA1037681_SRR26780067_H1_freq0.5004746646779893,H1,0.5004746646779893,966,Australia
PRJNA1037681,SRR26780067,PRJNA1037681_SRR26780067_H2_freq0.49952533532201066,H2,0.49952533532201066,966,Australia
PRJNA1037681,SRR26780110,PRJNA1037681_SRR26780110_H1_freq0.7980546666297972,H1,0.7980546666297972,966,Australia
PRJNA1037681,SRR26780110,PRJNA1037681_SRR26780110_H2_freq0.20194533337020273,H2,0.20194533337020273,966,Australia
PRJNA1037681,SRR26780112,PRJNA1037681_SRR26780112_H1_freq0.5878352510678483,H1,0.5878352510678483,966,Australia
PRJNA1037681,SRR26780112,PRJNA1037681_SRR26780112_H2_freq0.4121647489321518,H2,0.4121647489321518,966,Australia
PRJNA1037681,SRR26780115,PRJNA1037681_SRR26780115_H1_freq0.818700926769409,H1,0.818700926769409,966,Australia
PRJNA1037681,SRR26780115,PRJNA1037681_SRR26780115_H2_freq0.1812990732305911,H2,0.1812990732305911,966,Australia
PRJNA1037681,SRR26780117,PRJNA1037681_SRR26780117_H1_freq1.0,H1,1.0,966,Australia
PRJNA1037681,SRR26780119,PRJNA1037681_SRR26780119_H1_freq0.7895157527822605,H1,0.7895157527822605,966,Australia
PRJNA1037681,SRR26780119,PRJNA1037681_SRR26780119_H2_freq0.21048424721773948,H2,0.21048424721773948,966,Australia
PRJNA1037681,SRR26780123,PRJNA1037681_SRR26780123_H1_freq0.8014507293795241,H1,0.8014507293795241,966,Australia
PRJNA1037681,SRR26780123,PRJNA1037681_SRR26780123_H2_freq0.1985492706204759,H2,0.1985492706204759,966,Australia
PRJNA1037681,SRR26780126,PRJNA1037681_SRR26780126_H1_freq0.6474913086872748,H1,0.6474913086872748,966,Australia
PRJNA1037681,SRR26780126,PRJNA1037681_SRR26780126_H2_freq0.35250869131272533,H2,0.35250869131272533,966,Australia
PRJNA1037681,SRR26780127,PRJNA1037681_SRR26780127_H1_freq0.6865493083437368,H1,0.6865493083437368,966,Australia
PRJNA1037681,SRR26780127,PRJNA1037681_SRR26780127_H2_freq0.31345069165626327,H2,0.31345069165626327,966,Australia
PRJNA1037681,SRR26780146,PRJNA1037681_SRR26780146_H1_freq0.6778673526702345,H1,0.6778673526702345,966,Australia
PRJNA1037681,SRR26780146,PRJNA1037681_SRR26780146_H2_freq0.32213264732976554,H2,0.32213264732976554,966,Australia
PRJNA1037681,SRR26780187,PRJNA1037681_SRR26780187_H1_freq0.7130290484420749,H1,0.7130290484420749,966,Australia
PRJNA1037681,SRR26780187,PRJNA1037681_SRR26780187_H2_freq0.2869709515579251,H2,0.2869709515579251,966,Australia
PRJNA1037681,SRR26780205,PRJNA1037681_SRR26780205_H1_freq0.7336107991455065,H1,0.7336107991455065,966,Australia
PRJNA1037681,SRR26780205,PRJNA1037681_SRR26780205_H2_freq0.2663892008544935,H2,0.2663892008544935,966,Australia
PRJNA1037681,SRR26780206,PRJNA1037681_SRR26780206_H1_freq0.6946174803270257,H1,0.6946174803270257,966,Australia
PRJNA1037681,SRR26780206,PRJNA1037681_SRR26780206_H2_freq0.30538251967297425,H2,0.30538251967297425,966,Australia
PRJNA1037681,SRR26780211,PRJNA1037681_SRR26780211_H1_freq0.7587321927000045,H1,0.7587321927000045,966,Australia
PRJNA1037681,SRR26780211,PRJNA1037681_SRR26780211_H2_freq0.2412678072999955,H2,0.2412678072999955,966,Australia
PRJNA1037681,SRR26780213,PRJNA1037681_SRR26780213_H1_freq1.0,H1,1.0,966,Australia
PRJNA1037681,SRR26780216,PRJNA1037681_SRR26780216_H1_freq0.7430072339107074,H1,0.7430072339107074,966,Australia
PRJNA1037681,SRR26780216,PRJNA1037681_SRR26780216_H2_freq0.2569927660892926,H2,0.2569927660892926,966,Australia
PRJNA1037681,SRR26780217,PRJNA1037681_SRR26780217_H1_freq0.7585331696110822,H1,0.7585331696110822,966,Australia
PRJNA1037681,SRR26780217,PRJNA1037681_SRR26780217_H2_freq0.24146683038891778,H2,0.24146683038891778,966,Australia
PRJNA1037681,SRR26780219,PRJNA1037681_SRR26780219_H1_freq0.8391451285185958,H1,0.8391451285185958,966,Australia
PRJNA1037681,SRR26780219,PRJNA1037681_SRR26780219_H2_freq0.1608548714814041,H2,0.1608548714814041,966,Australia
PRJNA1037681,SRR26780237,PRJNA1037681_SRR26780237_H1_freq0.7179327107350938,H1,0.7179327107350938,966,Australia
PRJNA1037681,SRR26780237,PRJNA1037681_SRR26780237_H2_freq0.2820672892649062,H2,0.2820672892649062,966,Australia
PRJNA1130896,SRR29679704,PRJNA1130896_SRR29679704_H1_freq0.8082505378289522,H1,0.8082505378289522,966,United States
PRJNA1130896,SRR29679704,PRJNA1130896_SRR29679704_H2_freq0.1917494621710477,H2,0.1917494621710477,966,United States
PRJNA1130896,SRR29679706,PRJNA1130896_SRR29679706_H1_freq0.7272618520242182,H1,0.7272618520242182,966,United States
PRJNA1130896,SRR29679706,PRJNA1130896_SRR29679706_H2_freq0.27273814797578183,H2,0.27273814797578183,966,United States
PRJNA1130896,SRR29679709,PRJNA1130896_SRR29679709_H1_freq0.6773775197082743,H1,0.6773775197082743,966,United States
PRJNA1130896,SRR29679709,PRJNA1130896_SRR29679709_H2_freq0.17529451975824062,H2,0.17529451975824062,966,United States
PRJNA1130896,SRR29679709,PRJNA1130896_SRR29679709_H3_freq0.1473279605334851,H3,0.1473279605334851,966,United States
PRJNA1130896,SRR29679712,PRJNA1130896_SRR29679712_H1_freq0.7246373535485429,H1,0.7246373535485429,966,United States
PRJNA1130896,SRR29679712,PRJNA1130896_SRR29679712_H2_freq0.27536264645145714,H2,0.27536264645145714,966,United States
PRJNA1130896,SRR29679713,PRJNA1130896_SRR29679713_H1_freq1.0,H1,1.0,966,United States
PRJNA1130896,SRR29679716,PRJNA1130896_SRR29679716_H1_freq0.7456968501149668,H1,0.7456968501149668,966,United States
PRJNA1130896,SRR29679716,PRJNA1130896_SRR29679716_H2_freq0.25430314988503316,H2,0.25430314988503316,966,United States
PRJNA1130896,SRR29679720,PRJNA1130896_SRR29679720_H1_freq0.785687935117279,H1,0.785687935117279,966,United States
PRJNA1130896,SRR29679720,PRJNA1130896_SRR29679720_H2_freq0.21431206488272103,H2,0.21431206488272103,966,United States
PRJNA1130896,SRR29679721,PRJNA1130896_SRR29679721_H1_freq0.657449594549411,H1,0.657449594549411,966,United States
PRJNA1130896,SRR29679721,PRJNA1130896_SRR29679721_H2_freq0.2418694315594012,H2,0.2418694315594012,966,United States
PRJNA1130896,SRR29679721,PRJNA1130896_SRR29679721_H3_freq0.10068097389118784,H3,0.10068097389118784,966,United States
PRJNA1130896,SRR29679723,PRJNA1130896_SRR29679723_H1_freq0.7513122981544529,H1,0.7513122981544529,966,United States
PRJNA1130896,SRR29679723,PRJNA1130896_SRR29679723_H2_freq0.24868770184554714,H2,0.24868770184554714,966,United States
PRJNA1130896,SRR29679728,PRJNA1130896_SRR29679728_H1_freq0.7524420061319879,H1,0.7524420061319879,966,United States
PRJNA1130896,SRR29679728,PRJNA1130896_SRR29679728_H2_freq0.24755799386801214,H2,0.24755799386801214,966,United States
PRJNA1130896,SRR29679729,PRJNA1130896_SRR29679729_H1_freq0.6862293117449161,H1,0.6862293117449161,966,United States
PRJNA1130896,SRR29679729,PRJNA1130896_SRR29679729_H2_freq0.3137706882550839,H2,0.3137706882550839,966,United States
PRJNA1130896,SRR29679731,PRJNA1130896_SRR29679731_H1_freq0.6925785204627408,H1,0.6925785204627408,966,United States
PRJNA1130896,SRR29679731,PRJNA1130896_SRR29679731_H2_freq0.3074214795372593,H2,0.3074214795372593,966,United States
PRJNA1130896,SRR29679732,PRJNA1130896_SRR29679732_H1_freq0.8271454540164361,H1,0.8271454540164361,966,United States
PRJNA1130896,SRR29679732,PRJNA1130896_SRR29679732_H2_freq0.14019485801101922,H2,0.14019485801101922,966,United States
PRJNA1130896,SRR29679732,PRJNA1130896_SRR29679732_H3_freq0.03265968797254467,H3,0.03265968797254467,966,United States
PRJNA1130896,SRR29679737,PRJNA1130896_SRR29679737_H1_freq0.822978445087322,H1,0.822978445087322,966,United States
PRJNA1130896,SRR29679737,PRJNA1130896_SRR29679737_H2_freq0.17702155491267801,H2,0.17702155491267801,966,United States
PRJNA1130896,SRR29679738,PRJNA1130896_SRR29679738_H1_freq0.7560412528436443,H1,0.7560412528436443,966,United States
PRJNA1130896,SRR29679738,PRJNA1130896_SRR29679738_H2_freq0.24395874715635568,H2,0.24395874715635568,966,United States
PRJNA1130896,SRR29679753,PRJNA1130896_SRR29679753_H1_freq0.8128768916113328,H1,0.8128768916113328,966,United States
PRJNA1130896,SRR29679753,PRJNA1130896_SRR29679753_H2_freq0.1871231083886671,H2,0.1871231083886671,966,United States
PRJNA1130896,SRR29679754,PRJNA1130896_SRR29679754_H1_freq0.5892919298374683,H1,0.5892919298374683,966,United States
PRJNA1130896,SRR29679754,PRJNA1130896_SRR29679754_H2_freq0.4107080701625318,H2,0.4107080701625318,966,United States
PRJNA1130896,SRR29679809,PRJNA1130896_SRR29679809_H1_freq0.7378818987648629,H1,0.7378818987648629,966,United States
PRJNA1130896,SRR29679809,PRJNA1130896_SRR29679809_H2_freq0.2621181012351372,H2,0.2621181012351372,966,United States
PRJNA1130896,SRR29679814,PRJNA1130896_SRR29679814_H1_freq0.6512253869143104,H1,0.6512253869143104,966,United States
PRJNA1130896,SRR29679814,PRJNA1130896_SRR29679814_H2_freq0.34877461308568963,H2,0.34877461308568963,966,United States
PRJNA1130896,SRR29679823,PRJNA1130896_SRR29679823_H1_freq0.7433248411941512,H1,0.7433248411941512,966,United States
PRJNA1130896,SRR29679823,PRJNA1130896_SRR29679823_H2_freq0.2566751588058488,H2,0.2566751588058488,966,United States
PRJNA1130896,SRR29679826,PRJNA1130896_SRR29679826_H1_freq0.7008110561988667,H1,0.7008110561988667,966,United States
PRJNA1130896,SRR29679826,PRJNA1130896_SRR29679826_H2_freq0.29918894380113337,H2,0.29918894380113337,966,United States
PRJNA1130896,SRR29679830,PRJNA1130896_SRR29679830_H1_freq0.7279758412087833,H1,0.7279758412087833,966,United States
PRJNA1130896,SRR29679830,PRJNA1130896_SRR29679830_H2_freq0.2720241587912167,H2,0.2720241587912167,966,United States
PRJNA1130896,SRR29679833,PRJNA1130896_SRR29679833_H1_freq0.8040651993376454,H1,0.8040651993376454,966,United States
PRJNA1130896,SRR29679833,PRJNA1130896_SRR29679833_H2_freq0.19593480066235452,H2,0.19593480066235452,966,United States
PRJNA1130896,SRR29679834,PRJNA1130896_SRR29679834_H1_freq1.0,H1,1.0,966,United States
PRJNA1130896,SRR29679837,PRJNA1130896_SRR29679837_H1_freq0.7475688409467328,H1,0.7475688409467328,966,United States
PRJNA1130896,SRR29679837,PRJNA1130896_SRR29679837_H2_freq0.25243115905326724,H2,0.25243115905326724,966,United States
PRJNA1130896,SRR29679842,PRJNA1130896_SRR29679842_H1_freq0.7967298438348422,H1,0.7967298438348422,966,United States
PRJNA1130896,SRR29679842,PRJNA1130896_SRR29679842_H2_freq0.20327015616515776,H2,0.20327015616515776,966,United States
PRJNA1130896,SRR29679843,PRJNA1130896_SRR29679843_H1_freq0.7619319427501023,H1,0.7619319427501023,966,United States
PRJNA1130896,SRR29679843,PRJNA1130896_SRR29679843_H2_freq0.23806805724989766,H2,0.23806805724989766,966,United States
PRJNA1130896,SRR29679844,PRJNA1130896_SRR29679844_H1_freq0.3334695762557324,H1,0.3334695762557324,966,United States
PRJNA1130896,SRR29679844,PRJNA1130896_SRR29679844_H2_freq0.3333461508985229,H2,0.3333461508985229,966,United States
PRJNA1130896,SRR29679844,PRJNA1130896_SRR29679844_H3_freq0.33318427284574487,H3,0.33318427284574487,966,United States
PRJNA1130896,SRR29679851,PRJNA1130896_SRR29679851_H1_freq0.7404175546367235,H1,0.7404175546367235,966,United States
PRJNA1130896,SRR29679851,PRJNA1130896_SRR29679851_H2_freq0.2595824453632764,H2,0.2595824453632764,966,United States
PRJNA1130896,SRR29679852,PRJNA1130896_SRR29679852_H1_freq0.694323438141934,H1,0.694323438141934,966,United States
PRJNA1130896,SRR29679852,PRJNA1130896_SRR29679852_H2_freq0.2771542826458662,H2,0.2771542826458662,966,United States
PRJNA1130896,SRR29679854,PRJNA1130896_SRR29679854_H1_freq0.6929496476250449,H1,0.6929496476250449,966,United States
PRJNA1130896,SRR29679854,PRJNA1130896_SRR29679854_H2_freq0.3070503523749552,H2,0.3070503523749552,966,United States
PRJNA1130896,SRR29679864,PRJNA1130896_SRR29679864_H1_freq0.7175939119785557,H1,0.7175939119785557,966,United States
PRJNA1130896,SRR29679864,PRJNA1130896_SRR29679864_H2_freq0.2568436189062811,H2,0.2568436189062811,966,United States
PRJNA1130896,SRR29679874,PRJNA1130896_SRR29679874_H1_freq0.7062607395302634,H1,0.7062607395302634,966,United States
PRJNA1130896,SRR29679874,PRJNA1130896_SRR29679874_H2_freq0.29373926046973664,H2,0.29373926046973664,966,United States
PRJNA1130896,SRR29692818,PRJNA1130896_SRR29692818_H1_freq0.6067793744122282,H1,0.6067793744122282,966,United States
PRJNA1130896,SRR29692818,PRJNA1130896_SRR29692818_H2_freq0.3932206255877718,H2,0.3932206255877718,966,United States
PRJNA1130896,SRR29692824,PRJNA1130896_SRR29692824_H1_freq0.870863273390585,H1,0.870863273390585,966,United States
PRJNA1130896,SRR29692824,PRJNA1130896_SRR29692824_H2_freq0.1291367266094151,H2,0.1291367266094151,966,United States
PRJNA1130896,SRR29692828,PRJNA1130896_SRR29692828_H1_freq0.6682161722625938,H1,0.6682161722625938,966,United States
PRJNA1130896,SRR29692828,PRJNA1130896_SRR29692828_H2_freq0.33178382773740617,H2,0.33178382773740617,966,United States
PRJNA1130896,SRR29692831,PRJNA1130896_SRR29692831_H1_freq0.6098850456486777,H1,0.6098850456486777,966,United States
PRJNA1130896,SRR29692831,PRJNA1130896_SRR29692831_H2_freq0.3901149543513222,H2,0.3901149543513222,966,United States
PRJNA1130896,SRR29692854,PRJNA1130896_SRR29692854_H1_freq0.7965665110589417,H1,0.7965665110589417,966,United States
PRJNA1130896,SRR29692854,PRJNA1130896_SRR29692854_H2_freq0.2034334889410583,H2,0.2034334889410583,966,United States
PRJNA1130896,SRR29692857,PRJNA1130896_SRR29692857_H1_freq0.7993982309039193,H1,0.7993982309039193,966,United States
PRJNA1130896,SRR29692857,PRJNA1130896_SRR29692857_H2_freq0.2006017690960808,H2,0.2006017690960808,966,United States
PRJNA1130896,SRR29692865,PRJNA1130896_SRR29692865_H1_freq0.8136901965211014,H1,0.8136901965211014,966,United States
PRJNA1130896,SRR29692865,PRJNA1130896_SRR29692865_H2_freq0.1863098034788985,H2,0.1863098034788985,966,United States
PRJNA1130896,SRR29692873,PRJNA1130896_SRR29692873_H1_freq0.7600772401973354,H1,0.7600772401973354,966,United States
PRJNA1130896,SRR29692873,PRJNA1130896_SRR29692873_H2_freq0.23992275980266467,H2,0.23992275980266467,966,United States
PRJNA1130896,SRR29692875,PRJNA1130896_SRR29692875_H1_freq0.736073626686376,H1,0.736073626686376,966,United States
PRJNA1130896,SRR29692875,PRJNA1130896_SRR29692875_H2_freq0.26392637331362406,H2,0.26392637331362406,966,United States
PRJNA1130896,SRR29692880,PRJNA1130896_SRR29692880_H1_freq0.9657219770570393,H1,0.9657219770570393,966,United States
PRJNA1130896,SRR29692880,PRJNA1130896_SRR29692880_H2_freq0.034278022942960756,H2,0.034278022942960756,966,United States
PRJNA1130896,SRR29692881,PRJNA1130896_SRR29692881_H1_freq0.5907976103031379,H1,0.5907976103031379,966,United States
PRJNA1130896,SRR29692881,PRJNA1130896_SRR29692881_H2_freq0.409202389696862,H2,0.409202389696862,966,United States
PRJNA1130896,SRR29692884,PRJNA1130896_SRR29692884_H1_freq0.8139139645235197,H1,0.8139139645235197,966,United States
PRJNA1130896,SRR29692884,PRJNA1130896_SRR29692884_H2_freq0.18608603547648028,H2,0.18608603547648028,966,United States
PRJNA1130896,SRR29692887,PRJNA1130896_SRR29692887_H1_freq0.7281197722882446,H1,0.7281197722882446,966,United States
PRJNA1130896,SRR29692887,PRJNA1130896_SRR29692887_H2_freq0.27188022771175535,H2,0.27188022771175535,966,United States
PRJNA1130896,SRR29692889,PRJNA1130896_SRR29692889_H1_freq0.7674915247114079,H1,0.7674915247114079,966,United States
PRJNA1130896,SRR29692889,PRJNA1130896_SRR29692889_H2_freq0.2325084752885921,H2,0.2325084752885921,966,United States
PRJNA1130896,SRR29692926,PRJNA1130896_SRR29692926_H1_freq1.0,H1,1.0,966,United States
PRJNA1130896,SRR29692928,PRJNA1130896_SRR29692928_H1_freq0.8501069255234132,H1,0.8501069255234132,966,United States
PRJNA1130896,SRR29692928,PRJNA1130896_SRR29692928_H2_freq0.1498930744765869,H2,0.1498930744765869,966,United States
PRJNA1130896,SRR29692929,PRJNA1130896_SRR29692929_H1_freq0.705536552750352,H1,0.705536552750352,966,United States
PRJNA1130896,SRR29692929,PRJNA1130896_SRR29692929_H2_freq0.294463447249648,H2,0.294463447249648,966,United States
PRJNA1130896,SRR29692933,PRJNA1130896_SRR29692933_H1_freq0.7019706120271837,H1,0.7019706120271837,966,United States
PRJNA1130896,SRR29692933,PRJNA1130896_SRR29692933_H2_freq0.29802938797281625,H2,0.29802938797281625,966,United States
PRJNA1130896,SRR29692935,PRJNA1130896_SRR29692935_H1_freq1.0,H1,1.0,966,United States
PRJNA1130896,SRR29692936,PRJNA1130896_SRR29692936_H1_freq0.7386062058450661,H1,0.7386062058450661,966,United States
PRJNA1130896,SRR29692936,PRJNA1130896_SRR29692936_H2_freq0.2613937941549339,H2,0.2613937941549339,966,United States
PRJNA1130896,SRR29692939,PRJNA1130896_SRR29692939_H1_freq0.7673802146487777,H1,0.7673802146487777,966,United States
PRJNA1130896,SRR29692939,PRJNA1130896_SRR29692939_H2_freq0.23261978535122224,H2,0.23261978535122224,966,United States
PRJNA1130896,SRR29692941,PRJNA1130896_SRR29692941_H1_freq1.0,H1,1.0,966,United States
PRJNA1130896,SRR29692943,PRJNA1130896_SRR29692943_H1_freq0.681912997892643,H1,0.681912997892643,966,United States
PRJNA1130896,SRR29692943,PRJNA1130896_SRR29692943_H2_freq0.318087002107357,H2,0.318087002107357,966,United States
PRJNA1130896,SRR29692965,PRJNA1130896_SRR29692965_H1_freq0.7111777617211057,H1,0.7111777617211057,966,United States
PRJNA1130896,SRR29692965,PRJNA1130896_SRR29692965_H2_freq0.2888222382788943,H2,0.2888222382788943,966,United States
PRJNA1130896,SRR29692967,PRJNA1130896_SRR29692967_H1_freq0.8548409811951098,H1,0.8548409811951098,966,United States
PRJNA1130896,SRR29692967,PRJNA1130896_SRR29692967_H2_freq0.14515901880489032,H2,0.14515901880489032,966,United States
PRJNA1130896,SRR29692974,PRJNA1130896_SRR29692974_H1_freq0.7389765041234515,H1,0.7389765041234515,966,United States
PRJNA1130896,SRR29692974,PRJNA1130896_SRR29692974_H2_freq0.26102349587654844,H2,0.26102349587654844,966,United States
PRJNA1130896,SRR29692975,PRJNA1130896_SRR29692975_H1_freq0.8360274759203736,H1,0.8360274759203736,966,United States
PRJNA1130896,SRR29692975,PRJNA1130896_SRR29692975_H2_freq0.16397252407962645,H2,0.16397252407962645,966,United States
PRJNA1130896,SRR29692977,PRJNA1130896_SRR29692977_H1_freq0.7137682770656535,H1,0.7137682770656535,966,United States
PRJNA1130896,SRR29692977,PRJNA1130896_SRR29692977_H2_freq0.28623172293434646,H2,0.28623172293434646,966,United States
PRJNA1130896,SRR29692981,PRJNA1130896_SRR29692981_H1_freq0.8340307871838566,H1,0.8340307871838566,966,United States
PRJNA1130896,SRR29692981,PRJNA1130896_SRR29692981_H2_freq0.1659692128161435,H2,0.1659692128161435,966,United States
PRJNA1130896,SRR29692982,PRJNA1130896_SRR29692982_H1_freq0.7462614846851137,H1,0.7462614846851137,966,United States
PRJNA1130896,SRR29692982,PRJNA1130896_SRR29692982_H2_freq0.2537385153148863,H2,0.2537385153148863,966,United States
PRJNA1130896,SRR29692984,PRJNA1130896_SRR29692984_H1_freq0.8617266615295404,H1,0.8617266615295404,966,United States
PRJNA1130896,SRR29692984,PRJNA1130896_SRR29692984_H2_freq0.13827333847045967,H2,0.13827333847045967,966,United States
PRJNA1130896,SRR29692985,PRJNA1130896_SRR29692985_H1_freq0.7749677936276451,H1,0.7749677936276451,966,United States
PRJNA1130896,SRR29692985,PRJNA1130896_SRR29692985_H2_freq0.19093593725075014,H2,0.19093593725075014,966,United States
PRJNA1130896,SRR29692985,PRJNA1130896_SRR29692985_H3_freq0.034096269121604725,H3,0.034096269121604725,966,United States
PRJNA1130896,SRR29692989,PRJNA1130896_SRR29692989_H1_freq0.862055538231712,H1,0.862055538231712,966,United States
PRJNA1130896,SRR29692989,PRJNA1130896_SRR29692989_H2_freq0.13794446176828803,H2,0.13794446176828803,966,United States
PRJNA1130896,SRR29692991,PRJNA1130896_SRR29692991_H1_freq0.7560547339343282,H1,0.7560547339343282,966,United States
PRJNA1130896,SRR29692991,PRJNA1130896_SRR29692991_H2_freq0.24394526606567166,H2,0.24394526606567166,966,United States
PRJNA1130896,SRR29692998,PRJNA1130896_SRR29692998_H1_freq0.8206023801562456,H1,0.8206023801562456,966,United States
PRJNA1130896,SRR29692998,PRJNA1130896_SRR29692998_H2_freq0.17939761984375438,H2,0.17939761984375438,966,United States
PRJNA1130896,SRR29693057,PRJNA1130896_SRR29693057_H1_freq0.7200459573599572,H1,0.7200459573599572,966,United States
PRJNA1130896,SRR29693057,PRJNA1130896_SRR29693057_H2_freq0.2799540426400428,H2,0.2799540426400428,966,United States
PRJNA1130896,SRR29693058,PRJNA1130896_SRR29693058_H1_freq0.5381403205208668,H1,0.5381403205208668,966,United States
PRJNA1130896,SRR29693058,PRJNA1130896_SRR29693058_H2_freq0.4618596794791332,H2,0.4618596794791332,966,United States
PRJNA1130896,SRR29693059,PRJNA1130896_SRR29693059_H1_freq0.6721382896912568,H1,0.6721382896912568,966,United States
PRJNA1130896,SRR29693059,PRJNA1130896_SRR29693059_H2_freq0.32786171030874334,H2,0.32786171030874334,966,United States
PRJNA1130896,SRR29693060,PRJNA1130896_SRR29693060_H1_freq0.7438782013284034,H1,0.7438782013284034,966,United States
PRJNA1130896,SRR29693060,PRJNA1130896_SRR29693060_H2_freq0.2561217986715966,H2,0.2561217986715966,966,United States
