tree_id,record_type,source,label,project,SampleID,TreeCluster_branch,Frequency,clade,country,date,cluster_size,AU_barcode_class,US_barcode_class
NG2026_Grep00267,global_consensus_representative,Nextstrain_2026_global,PP_001DK5C,global,PP_001DK5C,,,A.2.1,USA,1998-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00268,global_consensus_representative,Nextstrain_2026_global,PP_001DQUU,global,PP_001DQUU,,,A.D,USA,2013-11-11,16,AU_other_complete,US_C18_like
NG2026_Grep00269,global_consensus_representative,Nextstrain_2026_global,PP_001DQXN,global,PP_001DQXN,,,A.D,USA,2013-11-26,2,AU_other_complete,US_C18_like
NG2026_Grep00271,global_consensus_representative,Nextstrain_2026_global,PP_001DRSX,global,PP_001DRSX,,,A.D,USA,2013-08-07,5,AU_other_complete,US_C18_like
NG2026_Grep00272,global_consensus_representative,Nextstrain_2026_global,PP_001DRTV,global,PP_001DRTV,,,A.D.2.2,USA,2013-12-19,4,AU_other_complete,US_C18_like
NG2026_Grep00278,global_consensus_representative,Nextstrain_2026_global,PP_001DS71,global,PP_001DS71,,,A.D.2,USA,2012-11-20,2,AU_other_complete,US_C18_like
NG2026_Grep00280,global_consensus_representative,Nextstrain_2026_global,PP_001DSBT,global,PP_001DSBT,,,A.D,USA,2012-09-12,6,AU_other_complete,US_other_complete
NG2026_Grep00346,global_consensus_representative,Nextstrain_2026_global,PP_001F6MN,global,PP_001F6MN,,,A.3.1,Jordan,2011-04-18,1,AU_other_complete,US_C18_like
NG2026_Grep00347,global_consensus_representative,Nextstrain_2026_global,PP_001F6V6,global,PP_001F6V6,,,A.D.5,New Zealand,2015-06-18,2,AU_other_complete,US_other_complete
NG2026_Grep00348,global_consensus_representative,Nextstrain_2026_global,PP_001F6W4,global,PP_001F6W4,,,A.D,New Zealand,2015-06-28,10,AU_other_complete,US_C18_like
NG2026_Grep00349,global_consensus_representative,Nextstrain_2026_global,PP_001F6Y0,global,PP_001F6Y0,,,A.3.1.1,New Zealand,2011-09-18,3,AU_other_complete,US_C18_like
NG2026_Grep00354,global_consensus_representative,Nextstrain_2026_global,PP_001F7NK,global,PP_001F7NK,,,A.3.1.1,New Zealand,2012-08-07,1,AU_other_complete,US_C18_like
NG2026_Grep00355,global_consensus_representative,Nextstrain_2026_global,PP_001F7QF,global,PP_001F7QF,,,A.3.1.1,New Zealand,2011-07-06,1,AU_other_complete,US_C18_like
NG2026_Grep00356,global_consensus_representative,Nextstrain_2026_global,PP_001F7SB,global,PP_001F7SB,,,A.D,New Zealand,2013-08-26,3,AU_other_complete,US_C18_like
NG2026_Grep00357,global_consensus_representative,Nextstrain_2026_global,PP_001F7T9,global,PP_001F7T9,,,A.D,New Zealand,2015-06-24,1,AU_C4_like,US_C18_like
NG2026_Grep00360,global_consensus_representative,Nextstrain_2026_global,PP_001F86H,global,PP_001F86H,,,A.3.1.1,New Zealand,2012-08-22,1,AU_other_complete,US_C18_like
NG2026_Grep00385,global_consensus_representative,Nextstrain_2026_global,PP_001FXWD,global,PP_001FXWD,,,A.D,Argentina,2015-04-30,2,AU_C4_like,US_C18_like
NG2026_Grep00387,global_consensus_representative,Nextstrain_2026_global,PP_001FZDC,global,PP_001FZDC,,,A.2.1,USA,2015-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00389,global_consensus_representative,Nextstrain_2026_global,PP_001GKN5,global,PP_001GKN5,,,A.D,USA,2014-04-03,1,AU_other_complete,US_other_complete
NG2026_Grep00429,global_consensus_representative,Nextstrain_2026_global,PP_001GXEA,global,PP_001GXEA,,,A.D,Japan,2021-10-04,4,AU_other_complete,US_C18_like
NG2026_Grep00464,global_consensus_representative,Nextstrain_2026_global,PP_001GYY6,global,PP_001GYY6,,,A.D.2.2,Japan,2019-08-02,1,AU_other_complete,US_C18_like
NG2026_Grep00475,global_consensus_representative,Nextstrain_2026_global,PP_001GZUD,global,PP_001GZUD,,,A.D.2.2.1,United Kingdom,2017-12-19,3,AU_other_complete,US_C18_like
NG2026_Grep00488,global_consensus_representative,Nextstrain_2026_global,PP_001H4T7,global,PP_001H4T7,,,A.D,China,2013-02-07,5,AU_other_complete,US_C18_like
NG2026_Grep00492,global_consensus_representative,Nextstrain_2026_global,PP_001H50T,global,PP_001H50T,,,A.D,China,2012-10-07,8,AU_other_complete,US_C18_like
NG2026_Grep00495,global_consensus_representative,Nextstrain_2026_global,PP_001H56F,global,PP_001H56F,,,A.D,China,2013-11-28,4,AU_other_complete,US_C18_like
NG2026_Grep00518,global_consensus_representative,Nextstrain_2026_global,PP_001HRRQ,global,PP_001HRRQ,,,A.D.2,Mexico,2011-03-XX,1,AU_C4_like,US_C18_like
NG2026_Grep00520,global_consensus_representative,Nextstrain_2026_global,PP_001HSCG,global,PP_001HSCG,,,A.2,USA,1994-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00521,global_consensus_representative,Nextstrain_2026_global,PP_001HSXB,global,PP_001HSXB,,,A.D,Argentina,2016-06-13,12,AU_other_complete,US_C18_like
NG2026_Grep00523,global_consensus_representative,Nextstrain_2026_global,PP_001HT3Z,global,PP_001HT3Z,,,A.D,USA,2012-02-13,4,AU_other_complete,US_C18_like
NG2026_Grep00524,global_consensus_representative,Nextstrain_2026_global,PP_001HT5V,global,PP_001HT5V,,,A.D,USA,2012-10-26,6,AU_other_complete,US_C18_like
NG2026_Grep00528,global_consensus_representative,Nextstrain_2026_global,PP_001HTDD,global,PP_001HTDD,,,A.D,USA,2012-11-13,5,AU_other_complete,US_C18_like
NG2026_Grep00570,global_consensus_representative,Nextstrain_2026_global,PP_001JFWN,global,PP_001JFWN,,,A.D,Kenya,2012-11-15,2,AU_other_complete,US_other_complete
NG2026_Grep00586,global_consensus_representative,Nextstrain_2026_global,PP_001JHAT,global,PP_001JHAT,,,A.D.4,Kenya,2013-10-12,5,AU_other_complete,US_other_complete
NG2026_Grep00589,global_consensus_representative,Nextstrain_2026_global,PP_001JHGF,global,PP_001JHGF,,,A.D.4,Kenya,2013-11-19,1,AU_other_complete,US_other_complete
NG2026_Grep00604,global_consensus_representative,Nextstrain_2026_global,PP_001JJ44,global,PP_001JJ44,,,A.D.4,Kenya,2014-12-18,4,AU_other_complete,US_other_complete
NG2026_Grep00606,global_consensus_representative,Nextstrain_2026_global,PP_001JJ60,global,PP_001JJ60,,,A.D.4,Kenya,2014-12-21,3,AU_other_complete,US_C21_like
NG2026_Grep00609,global_consensus_representative,Nextstrain_2026_global,PP_001JJCN,global,PP_001JJCN,,,A.D.4,Kenya,2014-12-31,2,AU_other_complete,US_other_complete
NG2026_Grep00618,global_consensus_representative,Nextstrain_2026_global,PP_001JJWK,global,PP_001JJWK,,,A.D.4,Kenya,2015-03-08,2,AU_other_complete,US_other_complete
NG2026_Grep00621,global_consensus_representative,Nextstrain_2026_global,PP_001JK19,global,PP_001JK19,,,A.D.4,Kenya,2015-04-08,1,AU_other_complete,US_C21_like
NG2026_Grep00622,global_consensus_representative,Nextstrain_2026_global,PP_001JK35,global,PP_001JK35,,,A.D.4,Kenya,2015-04-17,1,AU_other_complete,US_other_complete
NG2026_Grep00623,global_consensus_representative,Nextstrain_2026_global,PP_001JK51,global,PP_001JK51,,,A.D.4,Kenya,2016-02-17,1,AU_other_complete,US_other_complete
NG2026_Grep00636,global_consensus_representative,Nextstrain_2026_global,PP_001JP07,global,PP_001JP07,,,A.D,Thailand,2016-09-01,1,AU_other_complete,US_C18_like
NG2026_Grep00649,global_consensus_representative,Nextstrain_2026_global,PP_001JW5Q,global,PP_001JW5Q,,,A.D,Australia,2016-11-10,1,AU_C4_like,US_C18_like
NG2026_Grep00653,global_consensus_representative,Nextstrain_2026_global,PP_001JWAE,global,PP_001JWAE,,,A.D.2.2.1,Australia,2016-10-13,1,AU_other_complete,US_C18_like
NG2026_Grep00659,global_consensus_representative,Nextstrain_2026_global,PP_001JWHZ,global,PP_001JWHZ,,,A.D.2.2,Australia,2016-08-15,1,AU_other_complete,US_C18_like
NG2026_Grep00668,global_consensus_representative,Nextstrain_2026_global,PP_001JWV9,global,PP_001JWV9,,,A.D,Australia,2016-09-16,1,AU_C4_like,US_C18_like
NG2026_Grep00672,global_consensus_representative,Nextstrain_2026_global,PP_001JX1X,global,PP_001JX1X,,,A.D,Australia,2014-08-06,1,AU_C4_like,US_C18_like
NG2026_Grep00719,global_consensus_representative,Nextstrain_2026_global,PP_001K7A1,global,PP_001K7A1,,,A.D.2.2,Nicaragua,2016-11-03,3,AU_other_complete,US_other_complete
NG2026_Grep00722,global_consensus_representative,Nextstrain_2026_global,PP_001K7GP,global,PP_001K7GP,,,A.D.2,Nicaragua,2016-09-30,1,AU_C4_like,US_C21_like
NG2026_Grep00724,global_consensus_representative,Nextstrain_2026_global,PP_001K7MC,global,PP_001K7MC,,,A.D.3,China,2018-XX-XX,5,AU_other_complete,US_C18_like
NG2026_Grep00735,global_consensus_representative,Nextstrain_2026_global,PP_001K7XS,global,PP_001K7XS,,,A.D.5,China,2018-XX-XX,1,AU_other_complete,US_other_complete
NG2026_Grep00794,global_consensus_representative,Nextstrain_2026_global,PP_001KFUQ,global,PP_001KFUQ,,,A.D,Saudi Arabia,2017-01-01,1,AU_other_complete,US_C18_like
NG2026_Grep00803,global_consensus_representative,Nextstrain_2026_global,PP_001KG52,global,PP_001KG52,,,A.D.5,Saudi Arabia,2017-01-01,2,AU_other_complete,US_other_complete
NG2026_Grep00814,global_consensus_representative,Nextstrain_2026_global,PP_001KGHB,global,PP_001KGHB,,,A.D.5,Saudi Arabia,2017-01-01,1,AU_other_complete,US_other_complete
NG2026_Grep00826,global_consensus_representative,Nextstrain_2026_global,PP_001KHL4,global,PP_001KHL4,,,A.D,USA,2015-XX-XX,1,AU_C4_like,US_C18_like
NG2026_Grep00827,global_consensus_representative,Nextstrain_2026_global,PP_001KHM2,global,PP_001KHM2,,,A.D,USA,2015-XX-XX,1,AU_C4_like,US_C18_like
NG2026_Grep00828,global_consensus_representative,Nextstrain_2026_global,PP_001KHRU,global,PP_001KHRU,,,A.D,USA,2015-XX-XX,1,AU_C4_like,US_C18_like
NG2026_Grep00839,global_consensus_representative,Nextstrain_2026_global,PP_001KJCL,global,PP_001KJCL,,,A.D.4,USA,2016-03-15,1,AU_other_complete,US_other_complete
NG2026_Grep00854,global_consensus_representative,Nextstrain_2026_global,PP_001L3KJ,global,PP_001L3KJ,,,A.D.5,India,2016-08-11,1,AU_other_complete,US_other_complete
NG2026_Grep00868,global_consensus_representative,Nextstrain_2026_global,PP_001LA64,global,PP_001LA64,,,A.D.5,Australia,2017-09-01,1,AU_other_complete,US_other_complete
NG2026_Grep00870,global_consensus_representative,Nextstrain_2026_global,PP_001LA72,global,PP_001LA72,,,A.D,Australia,2017-03-03,2,AU_C4_like,US_C18_like
NG2026_Grep00873,global_consensus_representative,Nextstrain_2026_global,PP_001LAAW,global,PP_001LAAW,,,A.D,Australia,2017-11-04,4,AU_other_complete,US_C18_like
NG2026_Grep00879,global_consensus_representative,Nextstrain_2026_global,PP_001LAKB,global,PP_001LAKB,,,A.D,Australia,2017-11-04,1,AU_C4_like,US_C18_like
NG2026_Grep00880,global_consensus_representative,Nextstrain_2026_global,PP_001LAN5,global,PP_001LAN5,,,A.D.2.2,Australia,2017-05-25,1,AU_other_complete,US_other_complete
NG2026_Grep00884,global_consensus_representative,Nextstrain_2026_global,PP_001LATV,global,PP_001LATV,,,A.D.2.2,Australia,2016-11-10,1,AU_other_complete,US_C18_like
NG2026_Grep00885,global_consensus_representative,Nextstrain_2026_global,PP_001LASX,global,PP_001LASX,,,A.D.2.2,Australia,2016-12-15,1,AU_other_complete,US_C18_like
NG2026_Grep00905,global_consensus_representative,Nextstrain_2026_global,PP_001LC70,global,PP_001LC70,,,A.D,China,2017-12-08,5,AU_other_complete,US_C18_like
NG2026_Grep00925,global_consensus_representative,Nextstrain_2026_global,PP_001M1EV,global,PP_001M1EV,,,A.D,Germany,2015-03-15,2,AU_C4_like,US_C18_like
NG2026_Grep00935,global_consensus_representative,Nextstrain_2026_global,PP_001MFL2,global,PP_001MFL2,,,A.D,China,2014-XX-XX,5,AU_other_complete,US_C18_like
NG2026_Grep00938,global_consensus_representative,Nextstrain_2026_global,PP_001MJXB,global,PP_001MJXB,,,A.D,Taiwan,2018-XX-XX,5,AU_other_complete,US_C18_like
NG2026_Grep00962,global_consensus_representative,Nextstrain_2026_global,PP_001MKQQ,global,PP_001MKQQ,,,A.D.1,Taiwan,2018-XX-XX,1,AU_other_complete,US_other_complete
NG2026_Grep00992,global_consensus_representative,Nextstrain_2026_global,PP_001MLVD,global,PP_001MLVD,,,A.D.3,Taiwan,2019-XX-XX,1,AU_other_complete,US_C18_like
NG2026_Grep00996,global_consensus_representative,Nextstrain_2026_global,PP_001MLX9,global,PP_001MLX9,,,A.D.2.1,Taiwan,2019-XX-XX,4,AU_other_complete,US_C21_like
NG2026_Grep01011,global_consensus_representative,Nextstrain_2026_global,PP_001MMF7,global,PP_001MMF7,,,A.D.2.1,Taiwan,2019-XX-XX,1,AU_other_complete,US_C21_like
NG2026_Grep01026,global_consensus_representative,Nextstrain_2026_global,PP_001MN5S,global,PP_001MN5S,,,A.D.3,Taiwan,2020-XX-XX,6,AU_other_complete,US_other_complete
NG2026_Grep01046,global_consensus_representative,Nextstrain_2026_global,PP_001MPMS,global,PP_001MPMS,,,A.D.3,Taiwan,2020-XX-XX,1,AU_other_complete,US_other_complete
NG2026_Grep01060,global_consensus_representative,Nextstrain_2026_global,PP_001MRD7,global,PP_001MRD7,,,A.D.5,United Kingdom,2018-12-06,1,AU_other_complete,US_other_complete
NG2026_Grep01063,global_consensus_representative,Nextstrain_2026_global,PP_001MRJW,global,PP_001MRJW,,,A.D,Netherlands,2018-11-21,6,AU_other_complete,US_C18_like
NG2026_Grep01067,global_consensus_representative,Nextstrain_2026_global,PP_001MRLS,global,PP_001MRLS,,,A.D.5.1,United Kingdom,2019-12-15,1,AU_other_complete,US_other_complete
NG2026_Grep01070,global_consensus_representative,Nextstrain_2026_global,PP_001MRRG,global,PP_001MRRG,,,A.D.2.2,Netherlands,2018-12-24,4,AU_other_complete,US_C18_like
NG2026_Grep01076,global_consensus_representative,Nextstrain_2026_global,PP_001MRX4,global,PP_001MRX4,,,A.D.2.1,Netherlands,2019-12-27,4,AU_other_complete,US_C21_like
NG2026_Grep01078,global_consensus_representative,Nextstrain_2026_global,PP_001MS1W,global,PP_001MS1W,,,A.D.2.2.1,Spain,2019-01-04,8,AU_other_complete,US_C18_like
NG2026_Grep01085,global_consensus_representative,Nextstrain_2026_global,PP_001MSAC,global,PP_001MSAC,,,A.D.1,United Kingdom,2020-01-09,2,AU_other_complete,US_other_complete
NG2026_Grep01087,global_consensus_representative,Nextstrain_2026_global,PP_001MSC8,global,PP_001MSC8,,,A.D.3,United Kingdom,2018-11-13,6,AU_other_complete,US_C18_like
NG2026_Grep01094,global_consensus_representative,Nextstrain_2026_global,PP_001MSNM,global,PP_001MSNM,,,A.D.3,Netherlands,2018-12-03,7,AU_other_complete,US_C18_like
NG2026_Grep01095,global_consensus_representative,Nextstrain_2026_global,PP_001MSPK,global,PP_001MSPK,,,A.D.2.2.1,Spain,2019-12-29,8,AU_other_complete,US_C18_like
NG2026_Grep01098,global_consensus_representative,Nextstrain_2026_global,PP_001MSSD,global,PP_001MSSD,,,A.D,Netherlands,2018-01-18,4,AU_other_complete,US_C18_like
NG2026_Grep01103,global_consensus_representative,Nextstrain_2026_global,PP_001MSZZ,global,PP_001MSZZ,,,A.D,Netherlands,2019-12-11,4,AU_other_complete,US_C18_like
NG2026_Grep01104,global_consensus_representative,Nextstrain_2026_global,PP_001MT0X,global,PP_001MT0X,,,A.D.2.1,Netherlands,2019-11-22,9,AU_other_complete,US_C21_like
NG2026_Grep01113,global_consensus_representative,Nextstrain_2026_global,PP_001MTHW,global,PP_001MTHW,,,A.D.1,Spain,2019-11-25,9,AU_other_complete,US_other_complete
NG2026_Grep01114,global_consensus_representative,Nextstrain_2026_global,PP_001MTMN,global,PP_001MTMN,,,A.D.3,Spain,2020-01-05,6,AU_other_complete,US_C18_like
NG2026_Grep01115,global_consensus_representative,Nextstrain_2026_global,PP_001MTRE,global,PP_001MTRE,,,A.D.2.1,Netherlands,2019-12-13,1,AU_other_complete,US_C21_like
NG2026_Grep01119,global_consensus_representative,Nextstrain_2026_global,PP_001MTW4,global,PP_001MTW4,,,A.D.2.1,Netherlands,2020-01-08,9,AU_other_complete,US_C21_like
NG2026_Grep01124,global_consensus_representative,Nextstrain_2026_global,PP_001MU7G,global,PP_001MU7G,,,A.D.2.2,Netherlands,2019-01-10,2,AU_other_complete,US_C18_like
NG2026_Grep01127,global_consensus_representative,Nextstrain_2026_global,PP_001MUC6,global,PP_001MUC6,,,A.D.3,United Kingdom,2018-12-05,4,AU_other_complete,US_C18_like
NG2026_Grep01128,global_consensus_representative,Nextstrain_2026_global,PP_001MUKR,global,PP_001MUKR,,,A.D.1,Spain,2020-01-02,1,AU_other_complete,US_other_complete
NG2026_Grep01141,global_consensus_representative,Nextstrain_2026_global,PP_001MVML,global,PP_001MVML,,,A.D.2.2.1,United Kingdom,2018-11-30,2,AU_other_complete,US_C18_like
NG2026_Grep01144,global_consensus_representative,Nextstrain_2026_global,PP_001MW5J,global,PP_001MW5J,,,A.D.2.1,Netherlands,2019-12-12,4,AU_other_complete,US_C21_like
NG2026_Grep01146,global_consensus_representative,Nextstrain_2026_global,PP_001MWD2,global,PP_001MWD2,,,A.D.2.2.1,Spain,2019-01-02,1,AU_other_complete,US_C18_like
NG2026_Grep01147,global_consensus_representative,Nextstrain_2026_global,PP_001MWKP,global,PP_001MWKP,,,A.D.2.1,Netherlands,2019-12-24,1,AU_other_complete,US_other_complete
NG2026_Grep01159,global_consensus_representative,Nextstrain_2026_global,PP_001MXZU,global,PP_001MXZU,,,A.D.1,Spain,2019-01-16,9,AU_other_complete,US_other_complete
NG2026_Grep01165,global_consensus_representative,Nextstrain_2026_global,PP_001MYS7,global,PP_001MYS7,,,A.D.2.2.1,Netherlands,2019-12-23,4,AU_other_complete,US_C18_like
NG2026_Grep01176,global_consensus_representative,Nextstrain_2026_global,PP_001N086,global,PP_001N086,,,A.D.2.2,Netherlands,2017-12-15,3,AU_other_complete,US_C18_like
NG2026_Grep01225,global_consensus_representative,Nextstrain_2026_global,PP_001N846,global,PP_001N846,,,A.D.3,China,2018-02-XX,1,AU_other_complete,US_C18_like
