SequenceName	ClusterNumber
PRJNA1130896_SRR29679852_H2_freq0.2771542826458662	18
PRJNA1130896_SRR29679837_H2_freq0.25243115905326724	18
PRJNA1130896_SRR29679851_H2_freq0.2595824453632764	18
PRJNA1130896_SRR29679723_H2_freq0.24868770184554714	18
PRJNA1130896_SRR29679728_H2_freq0.24755799386801214	18
PRJNA1130896_SRR29692854_H2_freq0.2034334889410583	18
PRJNA1130896_SRR29679842_H2_freq0.20327015616515776	18
PRJNA1130896_SRR29679864_H2_freq0.2568436189062811	18
PRJNA1130896_SRR29679716_H2_freq0.25430314988503316	18
PRJNA1130896_SRR29692989_H2_freq0.13794446176828803	19
PRJNA1130896_SRR29692989_H1_freq0.862055538231712	19
PRJNA1130896_SRR29692941_H1_freq1.0	20
PRJNA1130896_SRR29692935_H1_freq1.0	20
PRJNA1130896_SRR29679713_H1_freq1.0	20
PRJNA1130896_SRR29692857_H1_freq0.7993982309039193	21
PRJNA1130896_SRR29692854_H1_freq0.7965665110589417	21
PRJNA1130896_SRR29692985_H3_freq0.034096269121604725	21
PRJNA1130896_SRR29679754_H2_freq0.4107080701625318	21
PRJNA1130896_SRR29679754_H1_freq0.5892919298374683	21
PRJNA1130896_SRR29692929_H1_freq0.705536552750352	21
PRJNA1130896_SRR29692929_H2_freq0.294463447249648	21
PRJNA1130896_SRR29692881_H2_freq0.409202389696862	21
PRJNA1130896_SRR29692881_H1_freq0.5907976103031379	21
PRJNA1130896_SRR29692887_H2_freq0.27188022771175535	21
PRJNA1130896_SRR29692887_H1_freq0.7281197722882446	21
PRJNA1130896_SRR29692875_H1_freq0.736073626686376	21
PRJNA1130896_SRR29679814_H1_freq0.6512253869143104	21
PRJNA1130896_SRR29693057_H2_freq0.2799540426400428	21
PRJNA1130896_SRR29693057_H1_freq0.7200459573599572	21
PRJNA1130896_SRR29692889_H1_freq0.7674915247114079	21
PRJNA1130896_SRR29692818_H1_freq0.6067793744122282	21
PRJNA1130896_SRR29692933_H1_freq0.7019706120271837	21
PRJNA1130896_SRR29679854_H1_freq0.6929496476250449	21
PRJNA1130896_SRR29679874_H1_freq0.7062607395302634	21
PRJNA1130896_SRR29692831_H1_freq0.6098850456486777	21
PRJNA1130896_SRR29692974_H1_freq0.7389765041234515	21
PRJNA1130896_SRR29679823_H1_freq0.7433248411941512	21
PRJNA1130896_SRR29679729_H1_freq0.6862293117449161	21
PRJNA1130896_SRR29679728_H1_freq0.7524420061319879	21
PRJNA1130896_SRR29679723_H1_freq0.7513122981544529	21
PRJNA1130896_SRR29679852_H1_freq0.694323438141934	21
PRJNA1130896_SRR29679738_H1_freq0.7560412528436443	21
PRJNA1130896_SRR29679864_H1_freq0.7175939119785557	21
PRJNA1130896_SRR29692998_H1_freq0.8206023801562456	21
PRJNA1130896_SRR29692939_H1_freq0.7673802146487777	21
PRJNA1130896_SRR29679851_H1_freq0.7404175546367235	21
PRJNA1130896_SRR29692985_H1_freq0.7749677936276451	21
PRJNA1130896_SRR29679842_H1_freq0.7967298438348422	21
PRJNA1130896_SRR29693058_H1_freq0.5381403205208668	21
PRJNA1130896_SRR29679837_H1_freq0.7475688409467328	21
PRJNA1130896_SRR29679716_H1_freq0.7456968501149668	21
PRJNA1130896_SRR29679709_H3_freq0.1473279605334851	22
PRJNA1130896_SRR29679709_H2_freq0.17529451975824062	22
PRJNA1130896_SRR29679709_H1_freq0.6773775197082743	22
PRJNA1130896_SRR29692984_H2_freq0.13827333847045967	23
PRJNA1130896_SRR29692965_H2_freq0.2888222382788943	23
PRJNA1130896_SRR29692984_H1_freq0.8617266615295404	23
PRJNA1130896_SRR29692965_H1_freq0.7111777617211057	23
PRJNA1130896_SRR29692975_H2_freq0.16397252407962645	24
PRJNA1130896_SRR29692975_H1_freq0.8360274759203736	24
PRJNA1130896_SRR29692981_H1_freq0.8340307871838566	25
PRJNA1130896_SRR29692981_H2_freq0.1659692128161435	25
PRJNA1130896_SRR29679737_H2_freq0.17702155491267801	25
PRJNA1130896_SRR29679737_H1_freq0.822978445087322	25
PRJNA1130896_SRR29692928_H2_freq0.1498930744765869	26
PRJNA1130896_SRR29692928_H1_freq0.8501069255234132	26
